Cancer,Comparison,Filter,Signature,gProfiler
LUAD,NormalvsStageI,DEG,ENSG00000120913;ENSG00000204305;ENSG00000135604;ENSG00000197465;ENSG00000213853,https://biit.cs.ut.ee/gplink/l/mtHNKF1hTo
LUAD,NormalvsStageII,DEG,ENSG00000022267;ENSG00000102683;ENSG00000112782;ENSG00000114854;ENSG00000135604;ENSG00000140600;ENSG00000163815;ENSG00000183010;ENSG00000197465;ENSG00000204305;ENSG00000213853;ENSG00000234281;ENSG00000147526;ENSG00000147689;ENSG00000204949,https://biit.cs.ut.ee/gplink/l/pCuNCxG6QC
LUAD,NormalvsStageIII,DEG,ENSG00000077522;ENSG00000177098;ENSG00000197465;ENSG00000266524;ENSG00000183010,https://biit.cs.ut.ee/gplink/l/Z61ZjtMgSm
LUAD,NormalvsStageIV,DEG,ENSG00000024422;ENSG00000066405;ENSG00000072163;ENSG00000072657;ENSG00000079308;ENSG00000087589;ENSG00000088926;ENSG00000095370;ENSG00000095713;ENSG00000096088;ENSG00000101331;ENSG00000101407;ENSG00000102683;ENSG00000103241;ENSG00000104967;ENSG00000105538;ENSG00000105971;ENSG00000105974;ENSG00000114790;ENSG00000114854;ENSG00000115368;ENSG00000117245;ENSG00000118526;ENSG00000119457;ENSG00000120913;ENSG00000122694;ENSG00000125810;ENSG00000126602;ENSG00000128050;ENSG00000131055;ENSG00000131471;ENSG00000131831;ENSG00000132622;ENSG00000134917;ENSG00000135052;ENSG00000135063;ENSG00000138670;ENSG00000138772;ENSG00000140505;ENSG00000140600;ENSG00000141161;ENSG00000143590;ENSG00000144381;ENSG00000147689;ENSG00000149403;ENSG00000149557;ENSG00000154188;ENSG00000154342;ENSG00000154783;ENSG00000155660;ENSG00000157554;ENSG00000157654;ENSG00000159708;ENSG00000163815;ENSG00000164188;ENSG00000165197;ENSG00000166965;ENSG00000167641;ENSG00000168309;ENSG00000168481;ENSG00000168484;ENSG00000168497;ENSG00000168539;ENSG00000168907;ENSG00000169744;ENSG00000175899;ENSG00000178726;ENSG00000179776;ENSG00000183010;ENSG00000183087;ENSG00000186198;ENSG00000186994;ENSG00000189129;ENSG00000197256;ENSG00000197415;ENSG00000197471;ENSG00000198844;ENSG00000198873;ENSG00000204305;ENSG00000204949;ENSG00000206384;ENSG00000213853;ENSG00000214491;ENSG00000224215;ENSG00000227307;ENSG00000228288;ENSG00000228401;ENSG00000229619;ENSG00000237167;ENSG00000237413;ENSG00000246430;ENSG00000248551;ENSG00000258947;ENSG00000261671;ENSG00000263155;ENSG00000268388;ENSG00000271447;ENSG00000277494;ENSG00000281852;ENSG00000111339;ENSG00000112214;ENSG00000115361;ENSG00000116016;ENSG00000116667;ENSG00000131097;ENSG00000134020;ENSG00000134115;ENSG00000136546;ENSG00000137135;ENSG00000148488;ENSG00000154764;ENSG00000156052;ENSG00000158246;ENSG00000163501;ENSG00000163788;ENSG00000164879;ENSG00000168743;ENSG00000171101;ENSG00000171885;ENSG00000176435;ENSG00000183607;ENSG00000183807;ENSG00000189292;ENSG00000196549;ENSG00000205213;ENSG00000234281;ENSG00000244280;ENSG00000254447;ENSG00000276668;ENSG00000278259;ENSG00000287115;ENSG00000065534;ENSG00000101335;ENSG00000114654;ENSG00000125414;ENSG00000166482,https://biit.cs.ut.ee/gplink/l/0RGBTpaHQj
LUAD,NormalvsStageI,Var,ENSG00000070778;ENSG00000135604;ENSG00000204305;ENSG00000213853;ENSG00000102683;ENSG00000197465;ENSG00000205213,https://biit.cs.ut.ee/gplink/l/KcJb6BrKSi
LUAD,NormalvsStageII,Var,ENSG00000187134;ENSG00000197415;ENSG00000272620,https://biit.cs.ut.ee/gplink/l/CoXqeeghTd
LUAD,NormalvsStageIII,Var,ENSG00000102104;ENSG00000134548;ENSG00000180440;ENSG00000034971;ENSG00000140505,https://biit.cs.ut.ee/gplink/l/vQk3P3B1TM
KIRC,NormalvsStageI,DEG,ENSG00000105929;ENSG00000147614;ENSG00000170561;ENSG00000180251;ENSG00000214128,https://biit.cs.ut.ee/gplink/l/WKG_INqpRq
KIRC,NormalvsStageII,DEG,ENSG00000014257;ENSG00000074803;ENSG00000082684;ENSG00000104332;ENSG00000105929;ENSG00000113889;ENSG00000115616;ENSG00000117595;ENSG00000124157;ENSG00000130829;ENSG00000147606;ENSG00000147614;ENSG00000151090;ENSG00000151418;ENSG00000151704;ENSG00000151715;ENSG00000151834;ENSG00000164007;ENSG00000165125;ENSG00000167580;ENSG00000168269;ENSG00000168907;ENSG00000169344;ENSG00000169550;ENSG00000171004;ENSG00000177807;ENSG00000179399;ENSG00000184012;ENSG00000185133;ENSG00000187889;ENSG00000197565;ENSG00000227338;ENSG00000235280;ENSG00000248517;ENSG00000249601;ENSG00000258402;ENSG00000273335;ENSG00000275612;ENSG00000276668;ENSG00000132677;ENSG00000183378,https://biit.cs.ut.ee/gplink/l/wP_GO1wFSO
KIRC,NormalvsStageIII,DEG,ENSG00000124157;ENSG00000134574;ENSG00000179399;ENSG00000163399;ENSG00000008196;ENSG00000011376;ENSG00000061656;ENSG00000086159;ENSG00000113889;ENSG00000119715;ENSG00000126878;ENSG00000130829;ENSG00000151704;ENSG00000170231;ENSG00000170561;ENSG00000177807;ENSG00000183844;ENSG00000188488;ENSG00000196767;ENSG00000197565;ENSG00000198780;ENSG00000226887;ENSG00000233154;ENSG00000257588;ENSG00000277268;ENSG00000277639,https://biit.cs.ut.ee/gplink/l/I8MC-bR7Tv
KIRC,NormalvsStageIV,DEG,ENSG00000074803;ENSG00000167580;ENSG00000179399;ENSG00000183378;ENSG00000275612;ENSG00000276668,https://biit.cs.ut.ee/gplink/l/5xJaImxCQh
KIRC,NormalvsStageI,Var,ENSG00000124157;ENSG00000161992;ENSG00000168619;ENSG00000223783;ENSG00000228055;ENSG00000250529;ENSG00000254789;ENSG00000257191;ENSG00000248517;ENSG00000261250,https://biit.cs.ut.ee/gplink/l/AP4ZlK_mQK
KIRC,NormalvsStageII,Var,ENSG00000168619;ENSG00000164616;ENSG00000166405;ENSG00000277883;ENSG00000286684;ENSG00000167580;ENSG00000285640;ENSG00000257634,https://biit.cs.ut.ee/gplink/l/C82qdhH1T1
KIRC,NormalvsStageIII,Var,ENSG00000129521;ENSG00000151418;ENSG00000180251;ENSG00000188175;ENSG00000107159;ENSG00000161992,https://biit.cs.ut.ee/gplink/l/by9AcsYlT_
KIRC,NormalvsStageIV,Var,ENSG00000151418;ENSG00000173253;ENSG00000180251;ENSG00000188175;ENSG00000276668;ENSG00000281769;ENSG00000162399;ENSG00000249601;ENSG00000267259;ENSG00000268416;ENSG00000156284;ENSG00000168269;ENSG00000214128,https://biit.cs.ut.ee/gplink/l/7IM8rJLNRd
HNSC,NormalvsStageI,DEG,ENSG00000142973;ENSG00000175806;ENSG00000152642,https://biit.cs.ut.ee/gplink/l/BdWkSXhPT5
HNSC,NormalvsStageII,DEG,ENSG00000025423;ENSG00000102547;ENSG00000111206;ENSG00000152642;ENSG00000198478,https://biit.cs.ut.ee/gplink/l/q5IJYpXARw
HNSC,NormalvsStageIII,DEG,ENSG00000142973,https://biit.cs.ut.ee/gplink/l/wcERS24XTD
HNSC,NormalvsStageIV,DEG,ENSG00000102547;ENSG00000150672;ENSG00000198478;ENSG00000130309,https://biit.cs.ut.ee/gplink/l/KpCZQ7rkT6
HNSC,NormalvsStageII,Var,ENSG00000037965;ENSG00000150672,https://biit.cs.ut.ee/gplink/l/oAsDHwzBRZ
HNSC,NormalvsStageIII,Var,ENSG00000183347;ENSG00000238125;ENSG00000273706;ENSG00000176092;ENSG00000178222;ENSG00000288047;ENSG00000135476;ENSG00000250874;ENSG00000163121,https://biit.cs.ut.ee/gplink/l/LztKR3AOST
HNSC,NormalvsStageIV,Var,ENSG00000099953;ENSG00000150672;ENSG00000181092;ENSG00000196616;ENSG00000128713;ENSG00000244128;ENSG00000281386,https://biit.cs.ut.ee/gplink/l/q5VDBL3pQW
